DISTRITO,EDAD,latitud,longitud
LA VICTORIA,25,-12.089889527766509,-77.02040219299445
JESUS MARIA,19,-12.087090673129776,-77.06199216897623
LINCE,24,-12.08750119543275,-77.03883898939807
JESUS MARIA,35,-12.08340627457077,-77.05114728912747
LA VICTORIA,32,-12.083067604050493,-77.00654105826169
LA VICTORIA,38,-12.066773169668158,-77.00394149886387
PUEBLO LIBRE,15,-12.071580855246198,-77.06750430424796
PUEBLO LIBRE,63,-12.08086679911766,-77.06141500989615
JESUS MARIA,20,-12.077487994140697,-77.05422167642465
JESUS MARIA,37,-12.079459827078134,-77.04732894696207
JESUS MARIA,21,-12.076721998664272,-77.04866560614201
JESUS MARIA,26,-12.067766357233252,-77.04446286055669
JESUS MARIA,50,-12.070101181612023,-77.0474338609518
LINCE,20,-12.082471674671748,-77.03498079197165
JESUS MARIA,22,-12.070812324133554,-77.0443337310061
JESUS MARIA,27,-12.078035532323815,-77.04684974515807
PUEBLO LIBRE,37,-12.075745647812264,-77.05531187935091
PUEBLO LIBRE,40,-12.083921697996844,-77.0640703044884
LA VICTORIA,24,-12.07349960932281,-77.02129113903374
JESUS MARIA,20,-12.081430504856769,-77.05506102600272
JESUS MARIA,21,-12.084484698194707,-77.05717159665768
LA VICTORIA,17,-12.065628226104499,-77.02945789451711
PUEBLO LIBRE,21,-12.079551812062316,-77.06064532811467
JESUS MARIA,22,-12.06931703040157,-77.04566101191119
LA VICTORIA,31,-12.074772920873178,-77.0181764657556
JESUS MARIA,57,-12.090450124397096,-77.05626355541278
LA VICTORIA,19,-12.066271315113404,-76.99794643967564
PUEBLO LIBRE,19,-12.06801965409636,-77.06992111064827
JESUS MARIA,24,-12.086001868584512,-77.06049034354996
PUEBLO LIBRE,25,-12.077312126857379,-77.05590216535488
LINCE,51,-12.080073445235563,-77.04065205825326
JESUS MARIA,23,-12.084968191913251,-77.05391623716488
JESUS MARIA,20,-12.08479003447767,-77.0561311487355
JESUS MARIA,28,-12.079108171219094,-77.0494586936836
JESUS MARIA,28,-12.07374246417105,-77.04457932789155
JESUS MARIA,35,-12.072889519684303,-77.05178432809333
JESUS MARIA,33,-12.082798380448454,-77.0599005568513
LINCE,22,-12.089375051574677,-77.04056659096845
LA VICTORIA,23,-12.078326985304054,-77.01839568024269
JESUS MARIA,47,-12.084976800706892,-77.05809710001935
JESUS MARIA,49,-12.076913244155385,-77.05477870610125
PUEBLO LIBRE,50,-12.068584448651398,-77.05973455429599
JESUS MARIA,24,-12.072227626098698,-77.04766294283412
JESUS MARIA,26,-12.086575350216625,-77.05464898372927
JESUS MARIA,20,-12.075345873544402,-77.04225449546955
JESUS MARIA,16,-12.089756059934043,-77.05287781335952
JESUS MARIA,13,-12.081783748863884,-77.04879810546936
JESUS MARIA,11,-12.0810448472853,-77.04830661019435
LA VICTORIA,27,-12.066560623268511,-77.01926601148269
PUEBLO LIBRE,23,-12.075847527858658,-77.07860187480873
LA VICTORIA,11,-12.07546045717049,-77.01874669020113
BREÑA,24,-12.064407440090784,-77.04992352571863
JESUS MARIA,60,-12.084530943762273,-77.05829540069496
LA VICTORIA,24,-12.071456241238653,-77.01410963392536
LINCE,19,-12.084043034017258,-77.03085628221932
LINCE,23,-12.084227711222692,-77.04088535535
PUEBLO LIBRE,21,-12.078590450869564,-77.07253422302827
LA VICTORIA,24,-12.06793700271771,-77.00208772948223
JESUS MARIA,29,-12.082040617733345,-77.05558501591317
LINCE,21,-12.082153085088043,-77.030219112262
JESUS MARIA,40,-12.085589746037746,-77.0528111251109
LINCE,37,-12.079128736060078,-77.03875385322539
PUEBLO LIBRE,40,-12.074019899196514,-77.07646449585441
LA VICTORIA,20,-12.07846950482653,-77.01708166164762
JESUS MARIA,16,-12.083103968869242,-77.05577240318846
LINCE,37,-12.088065916488084,-77.04219158312361
LA VICTORIA,10,-12.075028018077441,-77.0186975826132
JESUS MARIA,19,-12.086486564737541,-77.0525009950628
JESUS MARIA,26,-12.083053549653412,-77.0497525164849
LINCE,55,-12.08490910815767,-77.04826079628383
PUEBLO LIBRE,22,-12.074731175990255,-77.05544972852054
BREÑA,26,-12.060188048361244,-77.05795311742939
LA VICTORIA,34,-12.06805222316363,-77.0277348834233
JESUS MARIA,14,-12.077321807929328,-77.04742638074893
JESUS MARIA,20,-12.066679345074403,-77.04174303902641
LINCE,37,-12.08004879658592,-77.04008073478134
JESUS MARIA,39,-12.084347165597407,-77.04919550465947
JESUS MARIA,40,-12.084395973009098,-77.0544167212731
JESUS MARIA,9,-12.070225361166742,-77.04040758996067
JESUS MARIA,25,-12.086061932432058,-77.05215891646883
JESUS MARIA,45,-12.07889772468998,-77.04598560763452
LA VICTORIA,38,-12.081142209473413,-77.02595604344731
JESUS MARIA,5,-12.085886249908272,-77.05994383725975
JESUS MARIA,48,-12.079840325277138,-77.04283777561304
JESUS MARIA,37,-12.080082038674837,-77.04919053372039
JESUS MARIA,22,-12.078533850662328,-77.04609594678155
JESUS MARIA,16,-12.081988968593809,-77.0530971999647
JESUS MARIA,62,-12.06628748723791,-77.0451499217481
LA VICTORIA,25,-12.082195725414559,-77.02194357992664
JESUS MARIA,34,-12.078805458328947,-77.04645734754818
JESUS MARIA,56,-12.077560606080407,-77.04352775251843
LA VICTORIA,26,-12.063077638696694,-77.02093276556012
PUEBLO LIBRE,26,-12.076564024973411,-77.06121490498465
JESUS MARIA,37,-12.080915510773902,-77.04388763803156
LINCE,37,-12.077222767143528,-77.03840216560403
BREÑA,39,-12.05446835378524,-77.05019193345707
JESUS MARIA,20,-12.083557577360365,-77.05453594438319
JESUS MARIA,9,-12.075993204499046,-77.05241996328199
LA VICTORIA,34,-12.07957174628836,-77.02137941817375
JESUS MARIA,42,-12.074354993179984,-77.04470689737782
JESUS MARIA,38,-12.07822813303893,-77.04339014467303
PUEBLO LIBRE,55,-12.085048001622267,-77.06785783383086
PUEBLO LIBRE,40,-12.078617158956197,-77.07748214577624
BREÑA,33,-12.053459348582122,-77.05517646442188
JESUS MARIA,47,-12.06882917501495,-77.04570538538366
LA VICTORIA,45,-12.085397803751126,-77.02190474273041
JESUS MARIA,32,-12.070562209331717,-77.04583633049539
JESUS MARIA,55,-12.06845405214424,-77.04542881733266
JESUS MARIA,42,-12.079149048213525,-77.04531101031783
LA VICTORIA,43,-12.076910400919534,-77.02556902630502
PUEBLO LIBRE,58,-12.07754266400129,-77.05578107720143
JESUS MARIA,40,-12.081490117621296,-77.05583090807302
JESUS MARIA,42,-12.076978374323557,-77.05161037401226
PUEBLO LIBRE,32,-12.076041429958805,-77.06103043864287
LA VICTORIA,6,-12.064844974099131,-77.02772091090455
BREÑA,32,-12.063084152900284,-77.05333746976778
JESUS MARIA,79,-12.078295848997572,-77.0547296058348
JESUS MARIA,38,-12.068905476933903,-77.04621591033248
PUEBLO LIBRE,80,-12.074819938119871,-77.07363869036786
JESUS MARIA,33,-12.081702353588918,-77.05276340460667
JESUS MARIA,36,-12.085804967714546,-77.05816755171067
LINCE,37,-12.080730680494387,-77.03427211719021
LA VICTORIA,19,-12.080872325585919,-77.02378231977173
JESUS MARIA,16,-12.082384720234732,-77.0459738822325
LA VICTORIA,26,-12.08371610146714,-77.01834261231873
LINCE,44,-12.084302500531868,-77.0303780631766
JESUS MARIA,67,-12.081366805445546,-77.04839872710593
JESUS MARIA,34,-12.070203048326741,-77.04643714666584
JESUS MARIA,46,-12.078462105405713,-77.04802987061296
LA VICTORIA,27,-12.085782743610583,-77.01616538940205
JESUS MARIA,32,-12.091355684133939,-77.05429596865773
PUEBLO LIBRE,34,-12.068493950691419,-77.0539852466715
JESUS MARIA,30,-12.08241593508152,-77.04362113677786
LA VICTORIA,39,-12.06924133888692,-77.00467707751426
JESUS MARIA,32,-12.06626779679096,-77.04567999901029
JESUS MARIA,30,-12.083363483349506,-77.04895817153404
JESUS MARIA,35,-12.084475695102771,-77.04933148902109
JESUS MARIA,22,-12.080896084874311,-77.0478288753084
JESUS MARIA,51,-12.085530313821838,-77.05257018335942
BREÑA,21,-12.062304578190371,-77.04737031995286
JESUS MARIA,82,-12.07555578894112,-77.04326718416291
JESUS MARIA,12,-12.077349065098845,-77.05301410983479
LINCE,34,-12.08501071877048,-77.04043134661036
JESUS MARIA,47,-12.076192384191952,-77.04801630493962
JESUS MARIA,14,-12.072925011748746,-77.05109789545389
JESUS MARIA,40,-12.083044874416688,-77.04766820815705
BREÑA,23,-12.058105944659557,-77.05197387479882
PUEBLO LIBRE,33,-12.074920577670099,-77.06934999758181
JESUS MARIA,33,-12.086134449788407,-77.05244082392755
LA VICTORIA,41,-12.07775575394569,-77.0273641052727
JESUS MARIA,39,-12.083220686568609,-77.04848989548206
LINCE,40,-12.084493554884327,-77.0434658177227
BREÑA,41,-12.063850757366364,-77.05331593869424
JESUS MARIA,33,-12.088061084663401,-77.05533316765047
LINCE,34,-12.07023390383373,-77.04010456256884
BREÑA,40,-12.054957368045462,-77.05448796681958
JESUS MARIA,55,-12.08050149434301,-77.05040849825784
JESUS MARIA,19,-12.072309513729275,-77.04317796854133
JESUS MARIA,12,-12.086636682534206,-77.0524695209961
JESUS MARIA,25,-12.074129949339,-77.04345692320912
LINCE,45,-12.08903761317973,-77.04478886694635
JESUS MARIA,34,-12.084776502180315,-77.05195540819999
BREÑA,32,-12.05861112987216,-77.05023299427035
JESUS MARIA,38,-12.068933006598284,-77.04535407137074
PUEBLO LIBRE,17,-12.078109831773558,-77.08085904453807
JESUS MARIA,34,-12.084000950787251,-77.05688003569526
LINCE,32,-12.084557882484349,-77.04392468247049
JESUS MARIA,33,-12.075255709235332,-77.04214245965589
BREÑA,11,-12.055426426374229,-77.05728541778197
JESUS MARIA,41,-12.06523481155917,-77.03957688034365
JESUS MARIA,32,-12.080007856726887,-77.0441405775235
LINCE,33,-12.090159089750442,-77.02350119559978
JESUS MARIA,32,-12.08575475463701,-77.05140523263219
JESUS MARIA,14,-12.086031646389598,-77.05765892826177
JESUS MARIA,26,-12.068426184078213,-77.04174526452071
JESUS MARIA,28,-12.082723748243428,-77.04870640821161
JESUS MARIA,34,-12.080780260980585,-77.04555747711474
JESUS MARIA,39,-12.076447282060938,-77.0513255162309
LA VICTORIA,25,-12.073664920197134,-77.02684466646045
LA VICTORIA,16,-12.066380585467883,-76.99802424224316
LINCE,11,-12.0825944010428,-77.04190141076381
JESUS MARIA,23,-12.084464743300932,-77.05990162322973
JESUS MARIA,35,-12.085825828460502,-77.05892132133424
LA VICTORIA,23,-12.08720582177396,-77.01343818900055
LINCE,36,-12.072227423391428,-77.0395383512689
JESUS MARIA,62,-12.075760365324745,-77.04510363480749
PUEBLO LIBRE,61,-12.084823999919564,-77.06389464267858
LINCE,49,-12.081641147324463,-77.02698180630992
LA VICTORIA,33,-12.069281630066428,-77.02316323598927
LA VICTORIA,38,-12.086251882628957,-77.01013459536708
JESUS MARIA,31,-12.08184529480498,-77.05489450470284
JESUS MARIA,48,-12.082979570830673,-77.05567232407945
JESUS MARIA,38,-12.08748223354467,-77.05177266188593
JESUS MARIA,62,-12.080132328643984,-77.04887023715118
LA VICTORIA,23,-12.07819445038292,-77.02512480561592
LA VICTORIA,33,-12.07077335068197,-77.02783897466666
LA VICTORIA,33,-12.08153316518268,-77.00747540706176
JESUS MARIA,17,-12.078874117818225,-77.04576705595906
LA VICTORIA,48,-12.072970112789537,-77.0142051475064
JESUS MARIA,50,-12.08374332595419,-77.05929876614634
LA VICTORIA,25,-12.06989090663775,-77.0307398120122
PUEBLO LIBRE,24,-12.06865059346264,-77.05810126018339
JESUS MARIA,54,-12.079968678094788,-77.04671838029444
LA VICTORIA,33,-12.066067845002632,-77.00077696930867
JESUS MARIA,48,-12.077820023602039,-77.04631174475867
BREÑA,1,-12.063387066377075,-77.05731340527478
BREÑA,19,-12.051073157408698,-77.04400709753686
JESUS MARIA,12,-12.087357313972586,-77.05037069873175
JESUS MARIA,5,-12.07542675943781,-77.04635632922573
PUEBLO LIBRE,34,-12.071722370518767,-77.05746459406424
JESUS MARIA,51,-12.083665397219962,-77.0545232204795
JESUS MARIA,32,-12.07811489578031,-77.04521184033197
PUEBLO LIBRE,44,-12.077064005362596,-77.070736253968
JESUS MARIA,36,-12.087641018684545,-77.05601314637605
LA VICTORIA,31,-12.073430933301836,-77.02745056780114
JESUS MARIA,31,-12.077446387473282,-77.05008629269527
JESUS MARIA,38,-12.088798709644028,-77.05663905254518
LINCE,31,-12.083753095262617,-77.04426930325741
PUEBLO LIBRE,31,-12.077174575730988,-77.07745112990676
PUEBLO LIBRE,37,-12.074073660814648,-77.06755328977742
LINCE,31,-12.070535708879154,-77.03881066192582
JESUS MARIA,42,-12.075396810140889,-77.04285527851015
JESUS MARIA,38,-12.066577749403532,-77.03932771009639
JESUS MARIA,27,-12.071202568476057,-77.044400962273
JESUS MARIA,54,-12.0658753995428,-77.0429006364174
PUEBLO LIBRE,34,-12.073734462089519,-77.06334183756036
BREÑA,10,-12.060693818755379,-77.04910337020833
LA VICTORIA,22,-12.065587069116454,-77.02409928104686
JESUS MARIA,36,-12.067929856797656,-77.0418806752372
LA VICTORIA,28,-12.066702842066993,-77.03176999528254
LINCE,32,-12.090396260648438,-77.04754411765587
JESUS MARIA,54,-12.088166286120991,-77.05671748875982
LA VICTORIA,41,-12.079639267534398,-77.0208829574396
JESUS MARIA,31,-12.08640773249868,-77.06029587343323
LA VICTORIA,56,-12.08045712816448,-77.02591553037999
JESUS MARIA,28,-12.083373419804062,-77.05613407543382
LINCE,39,-12.080108344544735,-77.0376684323095
LA VICTORIA,0,-12.069412229313688,-77.0065013099587
LINCE,20,-12.089272671115552,-77.04320663975572
JESUS MARIA,43,-12.070222882304787,-77.04449618794412
LINCE,20,-12.087323347157968,-77.03553267441526
JESUS MARIA,22,-12.075962025271686,-77.04748467181105
JESUS MARIA,38,-12.077820412308668,-77.04907442950326
JESUS MARIA,38,-12.074057711633158,-77.0445485812373
PUEBLO LIBRE,38,-12.070161733717525,-77.05716532603643
LINCE,68,-12.083567556275417,-77.03001361550868
PUEBLO LIBRE,42,-12.068853674287231,-77.055022365061
JESUS MARIA,37,-12.07981949668628,-77.05240661831412
LA VICTORIA,34,-12.079147434372638,-77.01033182243691
JESUS MARIA,78,-12.082595286063738,-77.05384719272917
LA VICTORIA,35,-12.059915879019325,-77.0245745507484
JESUS MARIA,26,-12.082571995567893,-77.05475536559335
JESUS MARIA,28,-12.077530824755014,-77.04712138608251
JESUS MARIA,38,-12.077662582049497,-77.05276116735608
PUEBLO LIBRE,42,-12.071252656237899,-77.06575417117638
LINCE,26,-12.083134320311256,-77.03247366877667
BREÑA,47,-12.06553951140057,-77.05248110374427
LA VICTORIA,37,-12.080671837225204,-77.00991208545234
JESUS MARIA,32,-12.068979516102738,-77.04054697767336
JESUS MARIA,8,-12.088459933390512,-77.0599939224307
LA VICTORIA,33,-12.066172805619074,-77.02861719296493
LINCE,41,-12.080981322209727,-77.04011103258803
JESUS MARIA,33,-12.078643121738557,-77.05230414433663
LA VICTORIA,43,-12.05978322627173,-77.02196301227883
JESUS MARIA,35,-12.088316033098302,-77.05804497867518
LA VICTORIA,17,-12.084067516610435,-77.00493526054863
JESUS MARIA,37,-12.079108794359376,-77.05162310959643
JESUS MARIA,61,-12.075526812232859,-77.04539401626832
JESUS MARIA,18,-12.076513480362422,-77.05315353763997
JESUS MARIA,31,-12.084295254457903,-77.05007562827711
JESUS MARIA,35,-12.076839123657868,-77.04871165080014
JESUS MARIA,36,-12.070391782019326,-77.0438520404457
JESUS MARIA,33,-12.06549428286659,-77.03969857688615
JESUS MARIA,39,-12.069470176734272,-77.04360288347586
LA VICTORIA,7,-12.064288978301942,-77.01737162099695
JESUS MARIA,74,-12.086070882229695,-77.05342005051264
LINCE,39,-12.090769482162354,-77.04567830583863
LA VICTORIA,33,-12.069828228371856,-77.0042873157446
JESUS MARIA,32,-12.069346472318278,-77.0460958625471
JESUS MARIA,39,-12.078427667083536,-77.05499248630584
LA VICTORIA,32,-12.082284489265716,-77.02015690784242
JESUS MARIA,36,-12.085287337680668,-77.0600606423102
JESUS MARIA,26,-12.076886746032482,-77.05138148687215
LA VICTORIA,41,-12.065658378843205,-77.00586710799926
LA VICTORIA,6,-12.060389120454682,-77.02737875562697
JESUS MARIA,40,-12.076670631742594,-77.04634048511598
BREÑA,40,-12.066244627749358,-77.05805633722906
JESUS MARIA,26,-12.086223179585348,-77.05225877851912
JESUS MARIA,35,-12.076584264449956,-77.05257842765849
LA VICTORIA,37,-12.069676821196953,-77.03012657847188
JESUS MARIA,56,-12.08822330087468,-77.05122068708502
JESUS MARIA,32,-12.072063868687113,-77.04482190164254
PUEBLO LIBRE,4,-12.069235023065913,-77.07413442997759
BREÑA,37,-12.05255082542161,-77.05031186687005
JESUS MARIA,36,-12.074834465996439,-77.04856768240388
LA VICTORIA,30,-12.068129584119466,-77.0048031431166
JESUS MARIA,36,-12.084446641978989,-77.05185509181115
LA VICTORIA,21,-12.066190598958,-77.01139285254024
JESUS MARIA,33,-12.067606377949454,-77.0446761082313
JESUS MARIA,33,-12.082107833213152,-77.04835373107733
JESUS MARIA,38,-12.081917594240219,-77.05403946450255
LA VICTORIA,35,-12.069521148712287,-77.01931550491429
PUEBLO LIBRE,32,-12.082360227562704,-77.07116915120561
LINCE,30,-12.080836000538303,-77.03481970784132
LA VICTORIA,64,-12.08710001583629,-77.01673017036858
JESUS MARIA,33,-12.072760718082796,-77.04418108109348
JESUS MARIA,34,-12.075250490189148,-77.04537531344614
JESUS MARIA,41,-12.08024962277005,-77.0452848987373
JESUS MARIA,34,-12.082501135737466,-77.05505603990412
JESUS MARIA,32,-12.079018690433948,-77.05346525150004
JESUS MARIA,50,-12.073660722541902,-77.04918566824185
PUEBLO LIBRE,31,-12.070176567090774,-77.07119299239558
LA VICTORIA,18,-12.06567733454458,-77.00176629517577
JESUS MARIA,42,-12.077225368519057,-77.04666314744387
LINCE,32,-12.088679906990583,-77.0313956850985
LINCE,19,-12.08441065695463,-77.030179718705
PUEBLO LIBRE,14,-12.080381289713015,-77.06464613251615
JESUS MARIA,54,-12.086536277205326,-77.05002716139326
PUEBLO LIBRE,36,-12.074681167749105,-77.06336156952811
LINCE,5,-12.082434604791487,-77.03490796928828
LA VICTORIA,43,-12.06287708658646,-77.03126421220591
JESUS MARIA,33,-12.073460499392635,-77.04368961044379
JESUS MARIA,32,-12.083096544350234,-77.05026009933135
LA VICTORIA,29,-12.077028769067457,-77.02506002518966
PUEBLO LIBRE,33,-12.068483228129239,-77.06715735678405
JESUS MARIA,32,-12.07974221417402,-77.05617541898745
JESUS MARIA,31,-12.073505230689863,-77.04486545647318
JESUS MARIA,31,-12.084802824054035,-77.06083355314799
LA VICTORIA,7,-12.06699435998549,-77.01977641912902
JESUS MARIA,42,-12.068789657234312,-77.04660670676058
JESUS MARIA,29,-12.081053716308535,-77.04610584996546
LA VICTORIA,34,-12.062323778741506,-77.01817392072
JESUS MARIA,60,-12.085384223448388,-77.04912299012531
JESUS MARIA,55,-12.065119144836283,-77.04312334000814
BREÑA,36,-12.05763663550717,-77.04568041594837
JESUS MARIA,61,-12.083252771374479,-77.05170888506252
PUEBLO LIBRE,65,-12.081662825557428,-77.0610896127591
JESUS MARIA,12,-12.072621773982688,-77.04166030391626
PUEBLO LIBRE,34,-12.084800881382913,-77.06478176049117
JESUS MARIA,84,-12.075629753940904,-77.04240089632722
JESUS MARIA,37,-12.082349972082016,-77.05849799487112
PUEBLO LIBRE,31,-12.081521822001346,-77.05907919840928
JESUS MARIA,19,-12.074840455901812,-77.04982646722453
JESUS MARIA,42,-12.076425015720572,-77.0469430100072
JESUS MARIA,36,-12.081848924124,-77.0419410277038
JESUS MARIA,20,-12.090709650641543,-77.05419677259557
BREÑA,33,-12.063068581965789,-77.054461538975
JESUS MARIA,44,-12.078528198732194,-77.05114796932018
JESUS MARIA,30,-12.07131642233001,-77.04939329495335
JESUS MARIA,43,-12.07071416611226,-77.04668440747805
JESUS MARIA,41,-12.07953358494445,-77.0556204730208
JESUS MARIA,31,-12.06901954687097,-77.04171230096642
JESUS MARIA,33,-12.071686826629596,-77.04255185576287
LA VICTORIA,19,-12.08677493441324,-77.02207194991381
JESUS MARIA,32,-12.080046581008972,-77.05482760660851
JESUS MARIA,41,-12.083899906840648,-77.05319037553487
JESUS MARIA,20,-12.085501739796818,-77.05746591023077
JESUS MARIA,25,-12.085709167101085,-77.0527498631188
JESUS MARIA,17,-12.075592900872284,-77.04732994440242
JESUS MARIA,43,-12.085353477108733,-77.05137910960534
JESUS MARIA,41,-12.08258657155476,-77.05289532285754
PUEBLO LIBRE,32,-12.06979767998426,-77.06149440217074
LA VICTORIA,25,-12.086723254449522,-77.02198623035852
JESUS MARIA,41,-12.08416569743665,-77.05896762793007
JESUS MARIA,29,-12.092305632164637,-77.05400681817567
PUEBLO LIBRE,28,-12.069730761224097,-77.0514781454028
JESUS MARIA,35,-12.085597778449475,-77.05451363837653
JESUS MARIA,30,-12.069971256669163,-77.04752527190918
BREÑA,28,-12.066623149638456,-77.05975694232032
JESUS MARIA,6,-12.077724442056256,-77.04928808661768
JESUS MARIA,36,-12.07909964113293,-77.05613021653922
JESUS MARIA,34,-12.080751384442346,-77.05495811869945
LA VICTORIA,31,-12.080883979650133,-77.02233052266317
JESUS MARIA,13,-12.079431077079564,-77.0426201615212
LINCE,44,-12.083368353370295,-77.04030338917109
JESUS MARIA,33,-12.080760195471616,-77.04326816074108
JESUS MARIA,35,-12.086645859760276,-77.05347321920682
JESUS MARIA,35,-12.079900488247203,-77.0493801937334
JESUS MARIA,38,-12.071801093063467,-77.05097099253156
JESUS MARIA,34,-12.076421040865252,-77.0541986129333
LA VICTORIA,35,-12.082280768144853,-77.00623042017021
LA VICTORIA,37,-12.084178678287461,-77.01043372364886
PUEBLO LIBRE,41,-12.06834280768441,-77.07143402037177
JESUS MARIA,46,-12.065387272555482,-77.04262076695449
BREÑA,37,-12.062318897302083,-77.05493334928468
JESUS MARIA,24,-12.075002277914157,-77.05060590887174
JESUS MARIA,72,-12.07307088266673,-77.04862195983175
LINCE,21,-12.080247320482833,-77.03093977724575
LA VICTORIA,37,-12.064298987803234,-77.02980564155952
JESUS MARIA,46,-12.07322015902803,-77.05003496934322
JESUS MARIA,32,-12.068683317491049,-77.04022938896802
JESUS MARIA,62,-12.067137217589954,-77.04298599604458
JESUS MARIA,31,-12.079895801630837,-77.04615482519179
JESUS MARIA,36,-12.087183203788118,-77.05568519392901
LA VICTORIA,37,-12.067080058133904,-77.03222423228576
BREÑA,21,-12.064002180609153,-77.05054024263053
JESUS MARIA,73,-12.065599142370102,-77.04398517685054
JESUS MARIA,37,-12.069015914994734,-77.04586183749478
JESUS MARIA,36,-12.09074570009555,-77.05223112245557
LINCE,24,-12.086784525101097,-77.03108858515371
JESUS MARIA,36,-12.080513265388547,-77.0521275515383
JESUS MARIA,20,-12.079784360731681,-77.04838133285942
JESUS MARIA,23,-12.080548005505765,-77.05404185362525
PUEBLO LIBRE,41,-12.07803592945795,-77.07045045592817
LINCE,43,-12.088683659658148,-77.02772038424007
JESUS MARIA,39,-12.090090918097397,-77.05279141601359
PUEBLO LIBRE,32,-12.07317179828624,-77.06626808705849
JESUS MARIA,37,-12.085855201536004,-77.04987947027996
BREÑA,36,-12.064976758078625,-77.05932377097369
LA VICTORIA,39,-12.067503888639271,-77.02394327350373
JESUS MARIA,20,-12.068786506658075,-77.03981791658583
JESUS MARIA,18,-12.06908461706649,-77.04626144966471
JESUS MARIA,21,-12.090055667716403,-77.05172376092446
JESUS MARIA,32,-12.078213144994715,-77.05609683879455
LA VICTORIA,38,-12.072717397408509,-77.01293286857822
JESUS MARIA,30,-12.08208115185038,-77.05176538708987
JESUS MARIA,22,-12.078952176921396,-77.05027453650914
JESUS MARIA,36,-12.079443255438624,-77.04514886416041
JESUS MARIA,31,-12.088415279117926,-77.05263906452383
JESUS MARIA,35,-12.080368359973658,-77.04856348170658
JESUS MARIA,26,-12.074218514013277,-77.04752452786735
JESUS MARIA,38,-12.067828829492724,-77.04255266120683
JESUS MARIA,28,-12.07943644888014,-77.05264117670525
BREÑA,33,-12.058190987108267,-77.04856084241594
JESUS MARIA,24,-12.082494309001607,-77.04819287639799
BREÑA,14,-12.066193461593796,-77.05061537914206
PUEBLO LIBRE,41,-12.082238271672658,-77.06126869286243
JESUS MARIA,41,-12.070294671478514,-77.04208233977927
JESUS MARIA,49,-12.064745893987828,-77.0397373983798
JESUS MARIA,65,-12.082948400767604,-77.04271572667793
JESUS MARIA,39,-12.089600604220346,-77.05543978270468
JESUS MARIA,14,-12.073297979991654,-77.05020541866878
